image,question,answer
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=980x892 at 0x1831021B110>,is there evidence of calcification in the pancreas?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=980x892 at 0x1831021B250>,is the pancreas calcified?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1193 at 0x1831021B390>,what test or procedure might reveal the diagnosis?,head/neck ct
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x815 at 0x1831021B4D0>,is there evidence of calcification in the mass?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1193 at 0x1831021B610>,what can be done to get to a diagnosis?,biopsy
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=599x555 at 0x1831021B750>,what is your differential diagnoses?,"metastases, infection/abcess, glioblastoma"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=599x555 at 0x1831021B890>,what are the possible diagnoses?,"toxoplasma, lymphoma, abscesses, other brain tumors"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x1831021B9D0>,which is more likely? cancer or hemorrhage?,hemorrhage
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x1831021BB10>,is this cancer or hemorrhage?,cancer
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x642 at 0x1831021BC50>,what is the most likely explanation for a enlarged kidney in this image?,ureteral obstruction
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x642 at 0x1831021BD90>,why is the right kidney enlarged?,ureteral obstruction
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x677 at 0x1831021BED0>,"what is the alternate name for lens-shaped""""",lentiform
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x677 at 0x18337AB4050>,what term is synonymous with lens-shaped?,biconvex
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x581 at 0x18337AB4190>,what are the hypoattenuated round structures surrounding the veterbral column?,psoas muscles
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=534x666 at 0x18337AB42D0>,is there swelling of the grey matter?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x815 at 0x18337AB4410>,is the mass calcified?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x581 at 0x18337AB4550>,what are the structures near the vertebral column?,psoas muscles
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x677 at 0x18337AB4690>,what is the most likely diagnosis?,epidural hematoma
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x677 at 0x18337AB47D0>,what is going on with this patient?,sinusitis
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=341x428 at 0x18337AB4910>,do you favor a viral process or parasitic process or other?,viral
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=341x428 at 0x18337AB4A50>,is this a viral or parasitic process?,parasitic
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=436x531 at 0x18337AB4B90>,is the heart displaced?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=436x531 at 0x18337AB4CD0>,is the heart in the wrong position?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1023 at 0x18337AB4E10>,how do you determine cardiomegaly?,if the heart diameter is greater than half the diameter of the thoracic cavity.
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1023 at 0x18337AB4F50>,how do you determine if the heart is enlarged?,c-t ratio
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x941 at 0x18337AB5090>,the internal gas and enhancing rim suggests what type of lesion?,abcess
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1023 at 0x18337AB51D0>,what kind of image is this?,chest x-ray
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x941 at 0x18337AB5310>,what type of hepatic lesion has internal gas and enhancing rim?,abcess
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1156 at 0x18337AB5450>,"what does tram-track""-ing indictate?""",bronchiectasis
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1156 at 0x18337AB5590>,what is meant by tram-track?,thickening of bronchi
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x850 at 0x18337AB56D0>,is there hyperinflation of the lung(s)?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x850 at 0x18337AB5810>,are the lungs increased in size?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x18337AB5950>,is there an aortic aneurysm?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x18337AB5A90>,can an aortic aneurysm be appreciated?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x645 at 0x18337AB5BD0>,how can you tell if contrast has been utilized?,csf is brightly lit
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x645 at 0x18337AB5D10>,what are the signs of contrast being used?,aorta enhancement
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=388x542 at 0x18337AB5E50>,is mass effect obvious?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x759 at 0x18337AB5F90>,is this a normal image?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=388x542 at 0x18337AB60D0>,does there seem to be a mass effect?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x18337AB6210>,the dark space in the central portion of the image represents what structure(s)?,lateral ventricles
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x18337AB6350>,what do the dark spaces in the center show?,lateral ventricles
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1023 at 0x18337AB6490>,is there a midline shift?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1023 at 0x18337AB65D0>,is the trachea shifted?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=436x531 at 0x18337AB6710>,what indicates a pleural effusion?,costophrenic angle blunting
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=436x531 at 0x18337AB6850>,what is a pleural effusion,fluid in the pleural space
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x642 at 0x18337AB6990>,how can you confirm contrast was used?,aorta is bright
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x642 at 0x18337AB6AD0>,how do you know if contrast was used?,enhancement of vessels
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x18337AB6C10>,is the vertebra fractured?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x759 at 0x18337AB6D50>,is the brain scan normal?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x18337AB6E90>,is there a vertebral fracture?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=436x531 at 0x18337AB6FD0>,which way is the trachea deviating in this image?,left
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=436x531 at 0x18337AB7110>,is the trachea deviated to the right or left?,left
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x18337AB7250>,do you suspect vascular process or a genetic process?,genetic
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x18337AB7390>,is the etiology genetic or vascular?,vascular
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x677 at 0x18337AB74D0>,what shape would the lesion be if this were a subdural hematoma?,crescent
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x677 at 0x18337AB7610>,what shape is the lesion in a subdural hematoma?,concave
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x941 at 0x18337AB7750>,can this patient be managed with medical therapy alone?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x941 at 0x18337AB7890>,will medical therapy be enough?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1159 at 0x18337AB79D0>,what is the pathology?,hydropneumothorax
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x385 at 0x18337AB7B10>,what organ is enlarged?,pancreas
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1159 at 0x18337AB7C50>,what is abnormal in this image?,hydropneumothorax
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=329x434 at 0x18337AB7D90>,what vascular territory is the lesion?,right mca
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=329x434 at 0x18337AB7ED0>,in what vascular territory is the lesion located?,right mca
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x510 at 0x18337AE0050>,is this a vascular lesion,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x510 at 0x18337AE0190>,does this lesion involve the vascular system?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x842 at 0x18337AE02D0>,what is the foreign body?,a catheter
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x842 at 0x18337AE0410>,please identify the foreign body.,a catheter
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x765 at 0x18337AE0550>,is there wall enhancement of the gb?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x765 at 0x18337AE0690>,is the gallbladder wall enhanced by contrast?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=630x768 at 0x18337AE07D0>,are the lymph nodes enlarged,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x385 at 0x18337AE0910>,which organ has the abnormality?,pancreas
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=630x768 at 0x18337AE0A50>,is there hilar lymphadenopathy?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=329x434 at 0x18337AE0B90>,what neuro deficits will are predicted by image location?,"quadrantopia, aphasia, memory deficit, etc."
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=329x434 at 0x18337AE0CD0>,what deficits are suggested by the location of the lesion?,"motor weakness, sensory deficits, and left neglect"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1118 at 0x18337AE0E10>,is this a tension pneumothorax?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1118 at 0x18337AE0F50>,does this image show a tension pneumothorax?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x510 at 0x18337AE1090>,what is the most likely etiology,viral/inflammatory
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x510 at 0x18337AE11D0>,what is most likely causing these lesions?,cva
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=444x454 at 0x18337AE1310>,where is the pathology?,in the cortex and basal ganglia bilaterally
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=444x454 at 0x18337AE1450>,where is the pathology located?,in the cortex and basal ganglia bilaterally
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=960x720 at 0x18337AE1590>,is there a pancreatic pseudocsyst?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1304 at 0x18337AE16D0>,where is the cavitary lesion?,right upper lobe
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=960x720 at 0x18337AE1810>,is there a pseudocyst in the pancreas?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1118 at 0x18337AE1950>,is there tracheal deviation?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1118 at 0x18337AE1A90>,is the trachea deviated?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1187 at 0x18337AE1BD0>,what is the pathology,left lobe mass 1.5 x 1.8 cm
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1187 at 0x18337AE1D10>,what is abnormal in this image?,left lobe mass 1.5 x 1.8 cm
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=768x768 at 0x18337AE1E50>,how can you tell the mass is hemorrhagic and pushing the optic chiasm?,not sure
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=768x768 at 0x18337AE1F90>,where is the mass?,pituitary fossa
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x18337AE20D0>,what is the hypodensity on the posteriolateral edge of the left kidney?,nephroblastomatosis
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x18337AE2210>,what is seen in the posterolateral l kidney?,nephroblastomatosis
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=988x728 at 0x18337AE2350>,how can you tell that one side is small bowen and the other side is large bowel?,location of the contrast?
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1304 at 0x18337AE2490>,where is the abnormality?,right upper lobe
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=988x728 at 0x18337AE25D0>,how do you know that small bowel and colon are on different sides of midline?,haustra
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=967x1176 at 0x18337AE2710>,would you expect pleural plaques on other pleural surfaces vs just the hemithoraces?,not sure
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=967x1176 at 0x18337AE2850>,do you expect the patient to have plaques on other pleura as well?,maybe
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x18337AE2990>,what are the white nodules on bilateral kidneys?,contrast
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x18337AE2AD0>,what are the hyperintensities seen in the bilateral kidneys?,contrast
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x758 at 0x18337AE2C10>,what symptoms would this patient present with?,"ruq pain, jaundice,weight loss?"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x758 at 0x18337AE2D50>,what did the patient likely complain of?,abdominal pain
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=967x1176 at 0x18337AE2E90>,what are the densities in both mid-lung fields?,pleural plaques
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=967x1176 at 0x18337AE2FD0>,what do the densities in the lung fields represent?,pleural plaques
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=988x728 at 0x18337AE3110>,what are defining radiological features of large bowel?,air?
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x18337AE3250>,is the abnormality hyper dense or hypo dense?,hypodense
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=988x728 at 0x18337AE3390>,how do you distinguish large bowel?,haustra
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x758 at 0x18337AE34D0>,how can you tell if it�s the common bile duct vs the cystic duct?,trace the gallbladder emptying?
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x758 at 0x18337AE3610>,what differentiates the common bile duct and cystic duct?,cystic duct is more tortuous
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x758 at 0x18337AE3750>,what are common causes of cystic and cbd obstruction?,"tumors, gallstones"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x758 at 0x18337AE3890>,what can cause these findings on imaging?,"stones, cancer, infection, anatomic variants"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=386x386 at 0x18337AE39D0>,is gray or white matter highlighted in this image?,gray matter
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=386x386 at 0x18337AE3B10>,"which is highlighted in this image, white or gray matter?",gray matter
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1022 at 0x18337AE3C50>,what lung are the pulmonary nodules in?,bilateral lungs
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1022 at 0x18337AE3D90>,where are the nodules located?,bilateral lungs
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=768x768 at 0x18337AE3ED0>,do the two findings have the same etiology?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x18337B14050>,what density is the abnormality?,hypodense
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=768x768 at 0x18337B14190>,is there a unified process?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=988x728 at 0x18337B142D0>,what are defining radiological features of the small bowel?,not sure
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=988x728 at 0x18337B14410>,how do you identify small bowel?,plicae circulares
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=967x1176 at 0x18337B14550>,are there any abnormalities with the shape of the aortic arch?,no
